iter	Passed	Remaining
0	136	136404
1	138	69233
2	140	46824
3	143	35613
4	145	28879
5	147	24464
6	149	21262
7	151	18844
8	154	16958
9	156	15449
10	158	14215
11	160	13185
12	162	12329
13	164	11579
14	166	10930
15	168	10363
16	170	9863
17	172	9415
18	174	9018
19	176	8659
20	179	8373
21	181	8088
22	184	7819
23	186	7571
24	188	7339
25	190	7126
26	192	6927
27	194	6757
28	197	6600
29	199	6444
30	201	6304
31	204	6171
32	206	6048
33	208	5927
34	211	5818
35	213	5709
36	215	5613
37	218	5522
38	220	5438
39	222	5345
40	224	5262
41	227	5183
42	229	5111
43	231	5034
44	233	4960
45	235	4890
46	237	4824
47	239	4759
48	242	4703
49	244	4647
50	246	4589
51	248	4533
52	250	4479
53	252	4429
54	254	4379
55	257	4334
56	259	4292
57	261	4250
58	263	4209
59	265	4166
60	268	4125
61	270	4085
62	272	4045
63	274	4010
64	276	3975
65	278	3940
66	280	3906
67	282	3871
68	284	3838
69	286	3806
70	288	3776
71	290	3749
72	292	3720
73	295	3694
74	297	3669
75	299	3642
76	301	3615
77	303	3588
78	305	3565
79	308	3542
80	310	3520
81	312	3497
82	314	3473
83	316	3450
84	318	3427
85	320	3406
86	322	3385
87	324	3366
88	326	3346
89	328	3326
90	331	3306
91	333	3288
92	335	3269
93	337	3252
94	339	3238
95	342	3220
96	344	3205
97	346	3188
98	348	3172
99	350	3157
100	352	3141
101	355	3127
102	357	3112
103	359	3095
104	361	3079
105	363	3063
106	365	3049
107	367	3034
108	369	3020
109	371	3008
110	374	2996
111	376	2983
112	378	2972
113	380	2959
114	382	2947
115	385	2934
116	387	2927
117	390	2915
118	392	2902
119	394	2890
120	396	2877
121	398	2864
122	400	2852
123	402	2843
124	404	2833
125	406	2822
126	408	2810
127	410	2798
128	412	2786
129	414	2775
130	416	2764
131	419	2756
132	421	2747
133	423	2736
134	425	2727
135	427	2718
136	430	2708
137	432	2698
138	434	2689
139	436	2680
140	438	2670
141	440	2661
142	442	2651
143	444	2642
144	446	2632
145	448	2623
146	450	2616
147	452	2607
148	455	2598
149	457	2590
150	459	2582
151	461	2574
152	463	2565
153	465	2558
154	467	2549
155	469	2541
156	471	2532
157	473	2524
158	475	2516
159	477	2507
160	479	2500
161	481	2492
162	483	2484
163	485	2477
164	487	2469
165	489	2461
166	491	2454
167	493	2446
168	496	2439
169	498	2434
170	500	2428
171	503	2422
172	505	2416
173	507	2410
174	509	2403
175	511	2396
176	513	2389
177	516	2384
178	518	2378
179	520	2371
180	522	2364
181	524	2358
182	526	2351
183	528	2345
184	531	2340
185	533	2334
186	535	2327
187	537	2321
188	539	2315
189	541	2309
190	543	2303
191	545	2297
192	548	2291
193	550	2285
194	552	2279
195	554	2274
196	556	2268
197	558	2263
198	560	2257
199	563	2253
200	565	2248
201	567	2242
202	569	2237
203	572	2232
204	574	2226
205	576	2220
206	578	2218
207	581	2214
208	584	2211
209	586	2206
210	588	2201
211	590	2196
212	592	2190
213	595	2187
214	598	2183
215	600	2179
216	602	2175
217	605	2170
218	607	2166
219	609	2162
220	612	2158
221	614	2154
222	617	2150
223	619	2145
224	621	2141
225	623	2136
226	626	2132
227	628	2128
228	630	2124
229	633	2120
230	635	2115
231	637	2111
232	640	2107
233	642	2102
234	644	2099
235	647	2094
236	649	2090
237	651	2084
238	653	2080
239	655	2074
240	657	2069
241	659	2066
242	661	2061
243	664	2057
244	666	2053
245	668	2048
246	670	2043
247	672	2039
248	675	2036
249	677	2032
250	679	2028
251	681	2023
252	683	2018
253	685	2014
254	687	2010
255	690	2005
256	692	2001
257	694	1997
258	696	1992
259	698	1988
260	700	1983
261	702	1978
262	704	1974
263	706	1970
264	709	1966
265	711	1962
266	713	1957
267	715	1953
268	717	1949
269	719	1945
270	721	1941
271	723	1937
272	726	1933
273	727	1928
274	730	1924
275	732	1920
276	734	1916
277	736	1911
278	738	1907
279	740	1903
280	742	1899
281	744	1895
282	746	1891
283	748	1888
284	750	1883
285	752	1879
286	755	1876
287	757	1872
288	759	1868
289	761	1864
290	763	1860
291	765	1856
292	768	1853
293	770	1849
294	772	1845
295	774	1842
296	776	1838
297	778	1834
298	780	1830
299	782	1826
300	784	1822
301	787	1819
302	789	1815
303	791	1811
304	793	1807
305	795	1804
306	797	1800
307	799	1797
308	801	1793
309	804	1789
310	806	1786
311	808	1782
312	810	1778
313	812	1774
314	814	1771
315	816	1767
316	818	1764
317	820	1760
318	822	1756
319	824	1753
320	827	1749
321	829	1745
322	831	1742
323	833	1738
324	835	1734
325	837	1731
326	839	1728
327	841	1724
328	843	1720
329	845	1717
330	847	1713
331	850	1710
332	852	1707
333	854	1703
334	856	1699
335	858	1696
336	860	1692
337	862	1689
338	864	1685
339	866	1682
340	868	1679
341	871	1675
342	873	1672
343	875	1668
344	877	1665
345	879	1661
346	881	1658
347	883	1654
348	885	1651
349	887	1648
350	889	1644
351	891	1640
352	893	1637
353	895	1633
354	897	1630
355	899	1627
356	901	1623
357	903	1620
358	905	1616
359	907	1613
360	909	1609
361	911	1606
362	913	1602
363	915	1599
364	917	1596
365	919	1593
366	921	1589
367	923	1586
368	926	1583
369	928	1580
370	930	1577
371	932	1573
372	934	1570
373	936	1568
374	938	1564
375	940	1561
376	942	1558
377	944	1554
378	947	1551
379	949	1549
380	951	1545
381	953	1542
382	955	1539
383	957	1536
384	959	1533
385	961	1529
386	964	1527
387	966	1524
388	968	1521
389	970	1517
390	972	1514
391	974	1511
392	976	1508
393	979	1506
394	981	1503
395	983	1499
396	985	1496
397	987	1493
398	989	1490
399	991	1487
400	993	1484
401	995	1481
402	998	1478
403	1000	1475
404	1002	1472
405	1004	1469
406	1006	1466
407	1008	1463
408	1010	1460
409	1013	1457
410	1015	1454
411	1017	1452
412	1019	1449
413	1021	1446
414	1023	1443
415	1025	1440
416	1028	1437
417	1030	1434
418	1032	1431
419	1034	1428
420	1036	1425
421	1038	1422
422	1040	1419
423	1042	1416
424	1045	1414
425	1048	1412
426	1050	1409
427	1052	1406
428	1055	1404
429	1057	1401
430	1060	1399
431	1062	1397
432	1065	1395
433	1068	1393
434	1070	1390
435	1073	1388
436	1075	1385
437	1078	1383
438	1080	1381
439	1083	1378
440	1085	1376
441	1088	1373
442	1090	1371
443	1093	1369
444	1096	1367
445	1098	1364
446	1101	1362
